datedata,date,estimate
375,2021-01-10,1.1248175981082362
376,2021-01-11,1.087628047736938
377,2021-01-12,1.051648482187389
378,2021-01-13,1.0168401930493822
379,2021-01-14,0.9831656883849953
380,2021-01-15,0.9505886552117265
381,2021-01-16,0.9190739231197919
382,2021-01-17,0.8885874289900197
383,2021-01-18,0.8590961827797517
384,2021-01-19,0.8305682343450985
385,2021-01-20,0.8029726412688177
386,2021-01-21,0.7762794376639734
387,2021-01-22,0.7504596039243998
388,2021-01-23,0.7254850373938346
389,2021-01-24,0.7013285239264039
390,2021-01-25,0.677963710311936
391,2021-01-26,0.655365077540352
392,2021-01-27,0.6335079148801299
393,2021-01-28,0.6123682947465705
394,2021-01-29,0.591923048336298
395,2021-01-30,0.572149742005117
396,2021-01-31,0.5530266543670158
397,2021-02-01,0.5345327540927542
398,2021-02-02,0.5166476783871059
399,2021-02-03,0.49935171212443524
400,2021-02-04,0.4826257676228861
401,2021-02-05,0.46645136503803714
402,2021-02-06,0.45081061335743816
403,2021-02-07,0.43568619197799036
404,2021-02-08,0.4210613328486593
405,2021-02-09,0.4069198031615281
406,2021-02-10,0.3932458885746938
407,2021-02-11,0.3800243769509991
408,2021-02-12,0.3672405425970604
409,2021-02-13,0.3548801309875121
410,2021-02-14,0.3429293439598322
411,2021-02-15,0.33137482536554513
412,2021-02-16,0.32020364716401767
413,2021-02-17,0.3094032959454718
414,2021-02-18,0.2989616598702325
415,2021-02-19,0.2888670160116141
416,2021-02-20,0.27910801809022084
417,2021-02-21,0.26967368458780067
418,2021-02-22,0.2605533872291411
419,2021-02-23,0.25173683982084005
420,2021-02-24,0.24321408743611442
421,2021-02-25,0.23497549593513195
422,2021-02-26,0.22701174181066427
423,2021-02-27,0.2193138023491632
424,2021-02-28,0.21187294609765647
425,2021-03-01,0.20468072362714584
426,2021-03-02,0.1977289585834679
427,2021-03-03,0.19100973901684817
428,2021-03-04,0.1845154089816406
429,2021-03-05,0.17823856039799885
430,2021-03-06,0.17217202516747296
431,2021-03-07,0.16630886753476404
432,2021-03-08,0.16064237668810277
433,2021-03-09,0.15516605959094276
434,2021-03-10,0.14987363403787962
435,2021-03-11,0.14475902192791862
436,2021-03-12,0.13981634274842106
437,2021-03-13,0.13503990726325932
438,2021-03-14,0.1304242113989055
439,2021-03-15,0.12596393032236713
440,2021-03-16,0.12165391270506705
441,2021-03-17,0.11748917516694198
442,2021-03-18,0.11346489689520742
443,2021-03-19,0.10957641443240373
444,2021-03-20,0.10581921662850095
445,2021-03-21,0.10218893975199783
446,2021-03-22,0.09868136275510349
447,2021-03-23,0.09529240268823895
448,2021-03-24,0.09201811025923975
449,2021-03-25,0.08885466553278108
450,2021-03-26,0.0857983737656824
451,2021-03-27,0.08284566137388046
452,2021-03-28,0.07999307202698737
453,2021-03-29,0.07723726286647462
454,2021-03-30,0.07457500084364402
455,2021-03-31,0.07200315917366361
456,2021-04-01,0.06951871390205973
457,2021-04-02,0.06711874058016648
458,2021-04-03,0.0648004110461404
459,2021-04-04,0.06256099030825166
460,2021-04-05,0.06039783352726358
461,2021-04-06,0.05830838309480951
462,2021-04-07,0.056290165804770725
463,2021-04-08,0.05434079011475051
464,2021-04-09,0.052457943494828733
465,2021-04-10,0.05063938986086726
466,2021-04-11,0.048882967089720175
467,2021-04-12,0.047186584613784284
468,2021-04-13,0.04554822109240363
469,2021-04-14,0.043965922157718475
470,2021-04-15,0.042437798232622954
471,2021-04-16,0.04096202241856778
472,2021-04-17,0.039536828451013716
473,2021-04-18,0.03816050872040929
474,2021-04-19,0.0368314123566317
475,2021-04-20,0.03554794337489341
476,2021-04-21,0.03430855888117867
477,2021-04-22,0.03311176733533367
478,2021-04-23,0.031956126869992524
479,2021-04-24,0.030840243663576853
480,2021-04-25,0.029762770365661852
481,2021-04-26,0.02872240457305414
482,2021-04-27,0.027717887354978186
483,2021-04-28,0.026748001825817765
484,2021-04-29,0.025811571763907002
485,2021-04-30,0.0249074602749124
486,2021-05-01,0.024034568498392528
487,2021-05-02,0.023191834356165918
488,2021-05-03,0.022378231341160394
489,2021-05-04,0.021592767345458293
