datedata,date,estimate
318,2020-11-14,307954.12778398284
319,2020-11-15,307961.30344174197
320,2020-11-16,307968.2490953688
321,2020-11-17,307974.9719920852
322,2020-11-18,307981.4791548452
323,2020-11-19,307987.77738914336
324,2020-11-20,307993.8732896215
325,2020-11-21,307999.77324647794
326,2020-11-22,308005.4834516862
327,2020-11-23,308011.0099050284
328,2020-11-24,308016.35841994826
329,2020-11-25,308021.53462923
330,2020-11-26,308026.54399050697
331,2020-11-27,308031.3917916063
332,2020-11-28,308036.0831557332
333,2020-11-29,308040.6230465002
334,2020-11-30,308045.0162728063
335,2020-12-01,308049.2674935689
336,2020-12-02,308053.3812223149
337,2020-12-03,308057.3618316335
338,2020-12-04,308061.2135574952
339,2020-12-05,308064.94050344155
340,2020-12-06,308068.5466446483
341,2020-12-07,308072.03583186696
342,2020-12-08,308075.4117952472
343,2020-12-09,308078.6781480444
344,2020-12-10,308081.83839021536
345,2020-12-11,308084.8959119057
346,2020-12-12,308087.85399683163
347,2020-12-13,308090.71582556015
348,2020-12-14,308093.48447868956
349,2020-12-15,308096.16293993423
350,2020-12-16,308098.7540991159
351,2020-12-17,308101.26075506426
352,2020-12-18,308103.68561842985
353,2020-12-19,308106.0313144116
354,2020-12-20,308108.3003854016
355,2020-12-21,308110.4952935496
356,2020-12-22,308112.61842324986
357,2020-12-23,308114.6720835519
358,2020-12-24,308116.65851049835
359,2020-12-25,308118.5798693917
360,2020-12-26,308120.43825699156
361,2020-12-27,308122.23570364545
362,2020-12-28,308123.9741753544
363,2020-12-29,308125.6555757755
364,2020-12-30,308127.2817481634
365,2020-12-31,308128.8544772526
366,2021-01-01,308130.37549108174
367,2021-01-02,308131.8464627628
368,2021-01-03,308133.2690121956
369,2021-01-04,308134.64470772975
370,2021-01-05,308135.97506777634
371,2021-01-06,308137.2615623693
372,2021-01-07,308138.5056146795
373,2021-01-08,308139.7086024821
374,2021-01-09,308140.871859579
375,2021-01-10,308141.9966771771
376,2021-01-11,308143.0843052248
377,2021-01-12,308144.13595370704
378,2021-01-13,308145.1527939001
379,2021-01-14,308146.1359595885
380,2021-01-15,308147.0865482437
381,2021-01-16,308148.00562216685
382,2021-01-17,308148.89420959586
383,2021-01-18,308149.75330577866
384,2021-01-19,308150.583874013
385,2021-01-20,308151.38684665423
386,2021-01-21,308152.1631260919
387,2021-01-22,308152.9135856958
388,2021-01-23,308153.63907073316
389,2021-01-24,308154.3403992571
390,2021-01-25,308155.0183629674
391,2021-01-26,308155.67372804496
392,2021-01-27,308156.30723595986
393,2021-01-28,308156.9196042546
394,2021-01-29,308157.5115273029
395,2021-01-30,308158.0836770449
396,2021-01-31,308158.63670369925
397,2021-02-01,308159.17123645335
398,2021-02-02,308159.68788413174
399,2021-02-03,308160.18723584386
400,2021-02-04,308160.6698616115
401,2021-02-05,308161.13631297654
402,2021-02-06,308161.5871235899
403,2021-02-07,308162.02280978183
404,2021-02-08,308162.4438711147
405,2021-02-09,308162.8507909179
406,2021-02-10,308163.24403680646
407,2021-02-11,308163.6240611834
408,2021-02-12,308163.991301726
409,2021-02-13,308164.346181857
410,2021-02-14,308164.689111201
411,2021-02-15,308165.02048602636
